epoch,open,high,low,close
1779746400,1.16398,1.16426,1.1639,1.1641
1779750000,1.16409,1.16434,1.16358,1.16359
1779753600,1.1636,1.16399,1.1634,1.16387
1779757200,1.16388,1.16398,1.16304,1.16339
1779760800,1.16338,1.16352,1.16312,1.1634
1779764400,1.1634,1.16374,1.16338,1.1636
1779768000,1.16358,1.1636,1.16294,1.16298
1779771600,1.16297,1.16308,1.16274,1.1628
1779775200,1.16281,1.16376,1.16273,1.16352
1779778800,1.16354,1.16404,1.1624,1.16371
1779782400,1.16372,1.16422,1.16344,1.16365
1779786000,1.16366,1.16441,1.16325,1.16428
1779789600,1.16428,1.16452,1.16377,1.16415
1779793200,1.16416,1.16449,1.16333,1.16348
1779796800,1.16346,1.16366,1.16312,1.1632
1779800400,1.16318,1.16331,1.16172,1.16258
1779804000,1.16258,1.16299,1.16214,1.16251
1779807600,1.1625,1.16258,1.16164,1.16194
1779811200,1.16196,1.16296,1.16196,1.1624
1779814800,1.1624,1.16278,1.16214,1.1624
1779818400,1.1624,1.1631,1.16234,1.16296
1779822000,1.16292,1.16326,1.16274,1.1632
1779825600,1.1632,1.1633,1.16304,1.16317
1779829200,1.16286,1.16324,1.16276,1.16308
1779832800,1.1631,1.16338,1.1631,1.16335
1779836400,1.16334,1.16399,1.16334,1.16366
1779840000,1.16365,1.16406,1.1636,1.16381
1779843600,1.1638,1.16394,1.16327,1.1634
1779847200,1.1634,1.16386,1.1634,1.16384
1779850800,1.16385,1.16426,1.16369,1.16388
1779854400,1.16388,1.16424,1.16384,1.16413
1779858000,1.16412,1.16446,1.16388,1.16395
1779861600,1.16396,1.16494,1.16374,1.16456
1779865200,1.16458,1.1649,1.16402,1.16405
1779868800,1.16406,1.16472,1.16384,1.1645
1779872400,1.16448,1.16486,1.16426,1.16446
1779876000,1.16446,1.16448,1.16361,1.16392
1779879600,1.16394,1.16419,1.1633,1.16376
1779883200,1.16377,1.16615,1.16346,1.1644
1779886800,1.16439,1.16482,1.16377,1.16414
1779890400,1.16414,1.16523,1.16249,1.16256
1779894000,1.16255,1.16364,1.16225,1.16302
1779897600,1.16305,1.16328,1.16242,1.16324
1779901200,1.16324,1.1633,1.16222,1.16272
1779904800,1.16272,1.16304,1.16226,1.16294
1779908400,1.16294,1.1632,1.16268,1.16288
1779912000,1.16286,1.16305,1.16256,1.16258
1779915600,1.1628,1.16312,1.16266,1.16291
1779919200,1.16286,1.16305,1.1626,1.16262
1779922800,1.1626,1.16288,1.16162,1.16176
1779926400,1.16176,1.16235,1.16166,1.16206
1779930000,1.16206,1.16212,1.16094,1.161
1779933600,1.161,1.16152,1.16096,1.16126
1779937200,1.16126,1.16138,1.15872,1.15872
1779940800,1.15872,1.15928,1.15864,1.15918
1779944400,1.15918,1.16021,1.15891,1.15994
1779948000,1.15993,1.16122,1.15987,1.16102
1779951600,1.16104,1.16178,1.161,1.16118
1779955200,1.16118,1.16169,1.16066,1.16156
1779958800,1.16157,1.16192,1.1613,1.16132
1779962400,1.1613,1.16156,1.16037,1.16037
1779966000,1.16036,1.16228,1.16034,1.1617
1779969600,1.16168,1.16384,1.16157,1.16366
1779973200,1.16367,1.16432,1.16291,1.16306
1779976800,1.16304,1.1658,1.1627,1.16478
1779980400,1.16478,1.1657,1.16477,1.16481
1779984000,1.1648,1.16614,1.16454,1.16569
1779987600,1.1657,1.16574,1.16508,1.16534
1779991200,1.16532,1.16554,1.16466,1.1648
1779994800,1.16477,1.16516,1.16464,1.16477
1779998400,1.16476,1.16498,1.1645,1.16497
1780002000,1.16522,1.16536,1.16512,1.1652
1780005600,1.16519,1.16522,1.165,1.16504
1780009200,1.16504,1.16532,1.16504,1.16526
1780012800,1.16525,1.16556,1.16475,1.16488
1780016400,1.16489,1.16566,1.16434,1.16446
1780020000,1.16446,1.16492,1.16436,1.1645
1780023600,1.1645,1.1645,1.1636,1.16373
1780027200,1.16372,1.16394,1.16343,1.16391
1780030800,1.16392,1.16436,1.16382,1.16421
1780034400,1.16422,1.16544,1.16422,1.16535
1780038000,1.16534,1.16534,1.16378,1.16422
1780041600,1.16418,1.16418,1.1625,1.16283
1780045200,1.16282,1.16428,1.16266,1.16415
1780048800,1.16416,1.16452,1.1638,1.16431
1780052400,1.1643,1.16483,1.16399,1.16477
1780056000,1.16478,1.16491,1.16416,1.1649
1780059600,1.16492,1.16532,1.1645,1.16474
1780063200,1.16473,1.16746,1.16406,1.16687
1780066800,1.16686,1.16859,1.16673,1.16781
1780070400,1.1678,1.16792,1.16666,1.16723
1780074000,1.16722,1.16734,1.16622,1.16624
1780077600,1.16624,1.16686,1.16605,1.16642
1780081200,1.16641,1.16695,1.16638,1.16646
1780084800,1.16648,1.1665,1.16587,1.16621
1780261200,1.16543,1.16618,1.16543,1.166
1780264800,1.16602,1.16611,1.16517,1.16544
1780268400,1.16544,1.16558,1.16484,1.16486
1780272000,1.16486,1.16538,1.1645,1.16477
1780275600,1.16478,1.16482,1.1642,1.16449
1780279200,1.16448,1.16472,1.16437,1.16466
1780282800,1.16468,1.16491,1.16416,1.16439
1780286400,1.16438,1.16486,1.16435,1.16482
1780290000,1.16482,1.16534,1.16479,1.16514
1780293600,1.16514,1.16648,1.16502,1.16647
1780297200,1.16644,1.16648,1.16518,1.16566
1780300800,1.16568,1.16602,1.16535,1.16578
1780304400,1.16577,1.16606,1.16483,1.16508
1780308000,1.1651,1.16511,1.1646,1.16476
1780311600,1.16474,1.16482,1.16416,1.16463
1780315200,1.16464,1.16506,1.16452,1.16474
1780318800,1.16474,1.16482,1.16101,1.16101
1780322400,1.16096,1.16184,1.16068,1.16175
1780326000,1.16178,1.16288,1.16153,1.1623
1780329600,1.16232,1.16306,1.16164,1.16298
1780333200,1.163,1.1638,1.16252,1.16348
1780336800,1.16347,1.16353,1.16308,1.16308
1780340400,1.16308,1.16338,1.16267,1.16318
1780344000,1.16318,1.16339,1.16306,1.16321
1780347600,1.163,1.1637,1.16299,1.16341
1780351200,1.16342,1.16352,1.16326,1.16339
1780354800,1.16342,1.16361,1.16328,1.16354
1780358400,1.16354,1.16355,1.16294,1.16315
1780362000,1.16316,1.1637,1.16284,1.16307
1780365600,1.16308,1.16346,1.16302,1.16308
1780369200,1.16309,1.16352,1.16309,1.16342
1780372800,1.16342,1.16388,1.16342,1.16379
1780376400,1.1638,1.16398,1.16362,1.16371
1780380000,1.16372,1.16522,1.16372,1.16506
1780383600,1.16504,1.16508,1.1645,1.16486
1780387200,1.16486,1.16526,1.16422,1.16436
1780390800,1.16437,1.1645,1.16402,1.16433
1780394400,1.16434,1.16461,1.16384,1.16437
1780398000,1.16438,1.16528,1.16437,1.16496
1780401600,1.16497,1.16558,1.16474,1.16505
1780405200,1.16505,1.16524,1.16396,1.16434
1780408800,1.16434,1.165,1.16361,1.16436
1780412400,1.16436,1.16452,1.16356,1.16406
1780416000,1.16407,1.16412,1.16268,1.16284
1780419600,1.16283,1.16298,1.16202,1.16216
1780423200,1.16216,1.163,1.16135,1.16285
1780426800,1.16286,1.16332,1.16286,1.16323
1780430400,1.16324,1.16349,1.163,1.1631
1780434000,1.16299,1.16332,1.16292,1.163
1780437600,1.16299,1.16302,1.16264,1.16267
1780441200,1.16268,1.16275,1.16198,1.16213
1780444800,1.16212,1.16308,1.16204,1.16289
1780448400,1.1629,1.16336,1.16264,1.16296
1780452000,1.16296,1.1632,1.1625,1.1628
1780455600,1.16281,1.16295,1.16264,1.16277
1780459200,1.16276,1.16282,1.16244,1.16256
1780462800,1.16256,1.16271,1.16187,1.16188
1780466400,1.16188,1.16224,1.16124,1.16164
1780470000,1.16164,1.16244,1.16129,1.16162
1780473600,1.16162,1.16168,1.16051,1.16082
1780477200,1.16082,1.1616,1.1608,1.16136
1780480800,1.16136,1.1623,1.16128,1.16161
1780484400,1.16162,1.16226,1.16154,1.16179
1780488000,1.1618,1.16187,1.15968,1.16005
1780491600,1.16006,1.16064,1.15974,1.1603
1780495200,1.1603,1.16124,1.15949,1.16124
1780498800,1.16124,1.1613,1.16026,1.16048
1780502400,1.1605,1.1605,1.15952,1.16002
1780506000,1.16004,1.16036,1.15969,1.15984
1780509600,1.15985,1.16,1.15954,1.15984
1780513200,1.15982,1.16011,1.15972,1.15981
1780516800,1.15982,1.16006,1.1597,1.15986
1780520400,1.15998,1.16013,1.15976,1.15989
1780524000,1.15993,1.16124,1.15946,1.1606
1780527600,1.16061,1.16108,1.16016,1.1609
1780531200,1.1609,1.16126,1.16055,1.16068
1780534800,1.16068,1.16102,1.16039,1.16096
1780538400,1.16098,1.16113,1.16064,1.16101
1780542000,1.161,1.16101,1.16026,1.1606
1780545600,1.16061,1.16132,1.1604,1.16098
1780549200,1.16098,1.16106,1.16052,1.16098
1780552800,1.16098,1.1615,1.16072,1.16108
1780556400,1.16106,1.16128,1.15986,1.1604
1780560000,1.1604,1.16142,1.16037,1.16133
1780563600,1.16132,1.16284,1.16132,1.16258
1780567200,1.16258,1.16342,1.16253,1.16305
1780570800,1.16306,1.16455,1.16304,1.16418
1780574400,1.16418,1.16452,1.16345,1.1637
1780578000,1.1637,1.164,1.1634,1.16361
1780581600,1.1636,1.164,1.16292,1.16306
1780585200,1.16305,1.16316,1.16224,1.16284
1780588800,1.16283,1.16298,1.16232,1.16234
1780592400,1.16233,1.1624,1.16195,1.16208
1780596000,1.16208,1.16226,1.16134,1.1615
1780599600,1.1615,1.16162,1.16106,1.16124
1780603200,1.16125,1.16137,1.16082,1.1611
1780606800,1.16154,1.16162,1.16116,1.1614
1780610400,1.16144,1.16145,1.1611,1.16122
1780614000,1.16122,1.16138,1.1612,1.16124
1780617600,1.16124,1.16142,1.1611,1.16128
1780621200,1.16128,1.1615,1.161,1.16137
1780624800,1.1614,1.16166,1.16125,1.1614
1780628400,1.16141,1.16156,1.16136,1.16148
1780632000,1.1615,1.1617,1.16138,1.16162
1780635600,1.16162,1.16194,1.1615,1.16156
1780639200,1.16155,1.16229,1.1613,1.16224
1780642800,1.16222,1.16372,1.16216,1.1632
1780646400,1.1632,1.164,1.1632,1.16368
1780650000,1.16366,1.16445,1.16346,1.16387
1780653600,1.16386,1.16443,1.16385,1.16404
1780657200,1.16403,1.1642,1.16345,1.16416
1780660800,1.16416,1.16428,1.15863,1.15866
1780664400,1.15868,1.15998,1.15718,1.1572
1780668000,1.1572,1.15806,1.15496,1.1559
1780671600,1.1559,1.15601,1.15316,1.15325
1780675200,1.15326,1.15331,1.15226,1.15322
1780678800,1.15324,1.15332,1.15192,1.15243
1780682400,1.15244,1.15291,1.15195,1.1523
1780686000,1.1523,1.15274,1.15184,1.15253
1780689600,1.15254,1.15263,1.1518,1.15226
1780866000,1.15115,1.15157,1.15096,1.15115
1780869600,1.15104,1.15188,1.15088,1.15134
1780873200,1.15132,1.15228,1.15132,1.1522
1780876800,1.15219,1.15337,1.1521,1.15335
1780880400,1.15336,1.15348,1.15118,1.15265
1780884000,1.15266,1.15316,1.15206,1.15286
1780887600,1.15286,1.15325,1.15261,1.15324
1780891200,1.15324,1.1534,1.15301,1.15314
1780894800,1.15316,1.15398,1.15178,1.15192
1780898400,1.15192,1.15249,1.15135,1.15153
1780902000,1.15152,1.15269,1.15144,1.15166
1780905600,1.15165,1.15235,1.15079,1.15084
1780909200,1.15084,1.15146,1.14997,1.15126
1780912800,1.15126,1.15325,1.151,1.15245
1780916400,1.15246,1.15438,1.15234,1.15366
1780920000,1.15364,1.15437,1.15351,1.15422
1780923600,1.15424,1.15548,1.15414,1.15416
1780927200,1.15414,1.15444,1.15318,1.15428
1780930800,1.1543,1.15478,1.15365,1.15442
1780934400,1.15442,1.15462,1.15389,1.15389
1780938000,1.1539,1.15415,1.15356,1.1538
1780941600,1.15381,1.15421,1.15278,1.15284
1780945200,1.15284,1.15344,1.1528,1.15309
1780948800,1.15308,1.15338,1.15304,1.15324
1780952400,1.1537,1.1539,1.15342,1.15372
1780956000,1.15375,1.15375,1.15326,1.15338
1780959600,1.15338,1.15342,1.1528,1.15282
1780963200,1.15281,1.15317,1.1527,1.15314
1780966800,1.15315,1.15398,1.15305,1.15397
1780970400,1.15398,1.15405,1.15368,1.15376
1780974000,1.15376,1.154,1.15348,1.1538
1780977600,1.1538,1.15484,1.1537,1.15456
1780981200,1.15456,1.15476,1.15396,1.15448
1780984800,1.1545,1.15536,1.15434,1.1544
1780988400,1.15441,1.1547,1.15374,1.15394
1780992000,1.15393,1.15526,1.15365,1.15508
1780995600,1.15509,1.15638,1.15504,1.15615
1780999200,1.15614,1.15696,1.15602,1.15655
1781002800,1.15654,1.15742,1.15654,1.15726
1781006400,1.15728,1.15749,1.15692,1.15736
1781010000,1.15738,1.15781,1.15636,1.15664
1781013600,1.15664,1.15734,1.15582,1.15624
1781017200,1.15624,1.15674,1.15458,1.15552
1781020800,1.15552,1.15576,1.15286,1.1541
1781024400,1.15408,1.15532,1.154,1.15482
1781028000,1.15482,1.15532,1.15464,1.15498
1781031600,1.15498,1.15502,1.15396,1.15416
1781035200,1.15415,1.15457,1.15407,1.1544
1781038800,1.15454,1.15456,1.1536,1.15394
1781042400,1.15387,1.15405,1.15362,1.15366
1781046000,1.15366,1.15392,1.15332,1.15351
1781049600,1.15353,1.15436,1.15334,1.15424
1781053200,1.15426,1.1543,1.15354,1.15378
1781056800,1.1538,1.1545,1.15369,1.15426
1781060400,1.15426,1.15522,1.15424,1.15504
1781064000,1.15504,1.15507,1.15445,1.15464
1781067600,1.15464,1.15556,1.15454,1.15544
1781071200,1.15546,1.15582,1.15484,1.15488
1781074800,1.15488,1.15588,1.15467,1.15538
1781078400,1.1554,1.15542,1.15481,1.15536
1781082000,1.15538,1.15597,1.15507,1.15579
1781085600,1.1558,1.15594,1.15504,1.1552
1781089200,1.15524,1.15526,1.15357,1.15366
1781092800,1.15368,1.15649,1.1536,1.15486
1781096400,1.15485,1.15731,1.15475,1.15626
1781100000,1.15626,1.15672,1.15501,1.15522
1781103600,1.15524,1.15569,1.15344,1.15494
1781107200,1.15494,1.15595,1.15486,1.15539
1781110800,1.1554,1.15567,1.15447,1.15525
1781114400,1.15526,1.15577,1.15482,1.15483
1781118000,1.15484,1.15488,1.15412,1.15414
1781121600,1.15414,1.15415,1.1535,1.15357
1781125200,1.15366,1.15407,1.15354,1.15358
1781128800,1.15358,1.15368,1.15284,1.15298
1781132400,1.15298,1.15378,1.15257,1.15354
1781136000,1.15355,1.1543,1.15355,1.15425
1781139600,1.15426,1.15561,1.15416,1.15541
1781143200,1.15541,1.15543,1.15462,1.1548
1781146800,1.1548,1.15492,1.15444,1.15453
1781150400,1.15454,1.15504,1.15426,1.15484
1781154000,1.15484,1.15514,1.15455,1.15474
1781157600,1.15474,1.15474,1.15404,1.15418
1781161200,1.15418,1.15556,1.15413,1.1545
1781164800,1.15448,1.15455,1.15307,1.15323
1781168400,1.15322,1.1537,1.153,1.15322
